1	35	"Problem: forgotten lunches; Solution: selling sandwiches; Customer: hungry classmates"
2	44	"Example: A grocery store solves the problem of people needing food."
3	55	"Yes, it is a business because the student provides a service (dog walking) to customers (dog owners) in exchange for money ($10)."
4	66	"Problem: Students struggle with subjects and need help. Solution: After-school tutoring sessions. Customers: Students who need academic help. Pricing: $5-10 per session or monthly subscription."
5	101	"$50"
6	110	"$6"
7	121	"$62.50 (Revenue $100 - Costs $37.50)"
8	132	"$190 (Revenue $450 - Variable costs $240 - Fixed costs $20)"
9	167	"The price will increase above $2 because demand exceeds supply."
10	176	"The price goes up because demand increases while supply stays the same."
11	187	"Prices decrease because supply doubled while demand stayed constant, creating a surplus."
12	195	"Before holidays: price rises (demand 200 > supply 50). After holidays: price drops significantly (supply 150 > demand 30)."
13	224	"Target market: 13-18 year old students with smartphones who want affordable, stylish phone cases."
14	233	"Children (and their parents who make the purchase)."
15	244	"Target market: People aged 15-60 who want personalized gifts, especially before holidays, birthdays, and special occasions."
16	252	"They target different markets: the custom cake shop targets people celebrating special events (willing to pay more), while the bread shop targets daily shoppers (high volume, low price). Different customers, different needs."
17	287	"$6"
18	296	"$1.00"
19	307	"$10 (Markup = $4 × 1.5 = $6, Price = $4 + $6 = $10)"
20	318	"Marked up price = $18, Sale price = $14.40, Profit = $6.40"
21	347	"Product: chocolate chip cookies; Price: $2; Place: school & local market; Promotion: social media & free samples"
22	356	"Promotion"
23	367	"Product: Fresh lemonade; Price: $1-2 per cup; Place: Busy street corner or park; Promotion: Signs, social media, or shouting out deals."
24	375	"Product: Custom vinyl stickers with trendy designs; Price: $3-5 (covers materials + profit); Place: Etsy, Instagram shop; Promotion: TikTok videos showing the making process, student discounts, bundle deals."
25	404	"Pre-order lunch service that lets students skip the line by ordering in advance."
26	413	"Answers vary. Example: Forgetting homework — a reminder app service."
27	424	"Problem: No fresh juice nearby. Solution: Mobile juice cart visiting the neighborhood. Target: Health-conscious residents and families."
28	432	"Example: (1) Homework help app — subscription fee; (2) School supplies delivery — per-order fee; (3) Lost & found matching service — small finder's fee."
29	461	"Alex: Designer, Ben: Finance Manager, Clara: Sales & Marketing"
30	470	"A team brings different skills, shares the workload, and can accomplish more than one person alone."
31	481	"Editor (content quality), Writer (creates articles), Designer (layout/visuals), Distributor (gets papers to students)."
32	489	"Listen to both arguments, test both approaches on a small scale, look at the data (costs, reach, customer preference), and vote or try a hybrid approach."
33	518	"Student B's competitive advantage is unique decoration that adds perceived value, allowing a premium price."
34	527	"Example: McDonald's (burgers, fast service) vs. Subway (sandwiches, healthier options). Difference: type of food offered."
35	538	"1) Offer unique flavors, 2) Lower prices or bundle deals, 3) Better location or delivery service."
36	546	"Personalized recommendations, community events (book clubs, author visits), curated local/niche selections, loyalty programs, cozy atmosphere the chain cannot replicate."
37	581	"14 cups (rounding up from 13.3)"
38	590	"5 cups ($10 / $2 = 5)"
